# Plastic,NetStation,Replicate,Type,Length,Colour,PolymerType
581,42,1,Hard,1.52,White/Transparent,NA
582,42,1,Hard,2.42,White/Transparent,Polyethylene
583,42,1,Soft,2.12,Black,NA
584,42,2,Soft,5.71,White/Transparent,Polyethylene
585,42,2,Soft,3.21,White/Transparent,Polypropylene
586,42,3,Hard,2.63,White/Transparent,NA
587,42,3,Hard,3.16,White/Transparent,NA
588,42,3,Hard,1.32,White/Transparent,NA
589,42,3,Hard,1.84,White/Transparent,Polypropylene
590,43,1,Soft,22,White/Transparent,Polyethylene
591,43,1,Hard,1.5,White/Transparent,NA
592,43,1,Soft,9,White/Transparent,NA
593,43,1,Hard,2,White/Transparent,Polyethylene
594,43,1,Hard,2,White/Transparent,Polyethylene
595,43,1,Hard,1.89,White/Transparent,Polyethylene
596,43,1,Hard,2,White/Transparent,NA
597,43,1,Hard,1.5,White/Transparent,NA
598,43,1,Hard,1.5,White/Transparent,NA
599,43,1,Hard,0.5,White/Transparent,Polyethylene
600,43,1,Hard,1,White/Transparent,NA
601,43,1,Hard,1,White/Transparent,NA
602,43,1,Hard,1.5,Orange,NA
603,43,1,Hard,1.5,Orange,NA
604,43,1,Hard,2,White/Transparent,NA
605,43,1,Hard,1.5,White/Transparent,NA
606,43,2,Hard,2.11,Green,NA
607,43,2,Hard,1.58,Blue,NA
608,43,2,Hard,5.9,White/Transparent,Polyethylene
609,43,2,Hard,2.89,White/Transparent,NA
610,43,2,Soft,2.63,White/Transparent,NA
611,43,2,Line,7.89,White/Transparent,Polyethylene
612,43,2,Hard,1.58,White/Transparent,NA
613,43,2,Hard,1.32,White/Transparent,NA
614,43,2,Hard,1.58,White/Transparent,NA
615,43,2,Hard,1.84,White/Transparent,NA
616,43,3,Hard,1.43,White/Transparent,NA
617,43,3,Hard,1.43,White/Transparent,Polypropylene
618,43,3,Hard,1.02,White/Transparent,NA
619,43,3,Hard,2.24,White/Transparent,NA
620,43,3,Hard,1.63,White/Transparent,NA
621,43,3,Hard,0.61,White/Transparent,NA
622,43,3,Hard,1.63,White/Transparent,NA
623,44,1,Hard,1.18,Blue,NA
624,44,1,Hard,2.94,White/Transparent,NA
625,44,1,Hard,2.94,White/Transparent,NA
626,44,1,Hard,5.88,White/Transparent,NA
627,44,1,Hard,1.76,White/Transparent,Polyethylene
628,44,1,Hard,2.35,White/Transparent,NA
629,44,1,Hard,4.12,White/Transparent,NA
630,44,1,Hard,1.18,White/Transparent,NA
631,44,1,Hard,2.35,White/Transparent,NA
632,44,2,Soft,0.53,White/Transparent,NA
633,44,3,Hard,3,White/Transparent,Polypropylene
634,44,3,Hard,6,White/Transparent,NA
635,44,3,Hard,1.5,White/Transparent,NA
636,45,1,Hard,8.18,Blue,NA
637,45,1,Hard,3.18,White/Transparent,NA
638,45,1,Hard,4.77,White/Transparent,NA
639,45,1,Hard,4.09,White/Transparent,NA
640,45,2,Line,15.33,White/Transparent,NA
641,45,2,Hard,4.67,White/Transparent,NA
642,45,2,Soft,5,White/Transparent,Polypropylene
643,45,3,Soft,10.71,White/Transparent,NA
644,46,2,Soft,4.55,White/Transparent,NA
645,48,1,Soft,3.86,Gray,NA
646,48,1,Hard,1.75,White/Transparent,NA
647,48,1,Soft,5.96,White/Transparent,NA
648,48,1,Soft,14.04,White/Transparent,NA
649,48,2,Soft,1.94,White/Transparent,NA
650,48,2,Hard,6,White/Transparent,Polyethylene
651,49,1,Hard,5.3,White/Transparent,Polypropylene
652,49,1,Line,17.14,White/Transparent,NA
653,49,1,Line,28.57,White/Transparent,NA
654,49,1,Soft,17.14,Gray,NA
655,49,1,Line,8.57,White/Transparent,NA
656,49,2,Soft,9.67,White/Transparent,Polypropylene
657,49,2,Soft,2.33,White/Transparent,NA
658,49,3,Soft,5.88,White/Transparent,NA
659,50,1,Soft,11.3,White/Transparent,NA
660,50,1,Hard,3.1,White/Transparent,NA
661,50,1,Hard,2.17,White/Transparent,NA
662,50,1,Hard,1.74,White/Transparent,NA
663,50,1,Hard,1.74,White/Transparent,NA
664,50,1,Hard,1.3,White/Transparent,NA
665,50,1,Soft,15.22,White/Transparent,Polypropylene
666,50,1,Line,5.65,White/Transparent,Polyethylene
667,50,2,Soft,5.24,White/Transparent,NA
668,50,2,Soft,5.71,White/Transparent,NA
669,50,2,Hard,0.95,White/Transparent,Polypropylene
670,50,3,Hard,5.22,White/Transparent,NA
671,50,3,Hard,3.04,White/Transparent,NA
672,51,2,Hard,2.43,White/Transparent,Polypropylene
673,51,3,Hard,2.9,White/Transparent,Polyethylene
674,51,3,Hard,1.71,White/Transparent,Polyethylene
675,51,3,Hard,2,Blue,NA
676,52,1,Hard,4.33,White/Transparent,NA
677,52,1,Hard,3.33,White/Transparent,Polyethylene
678,52,1,Soft,2.67,White/Transparent,NA
679,52,1,Hard,2,White/Transparent,NA
680,52,1,Soft,4.67,White/Transparent,NA
681,52,1,Hard,2.3,Blue,Polypropylene
682,52,2,Hard,2.22,White/Transparent,NA
683,52,3,Line,51.52,Black,NA
684,52,3,Hard,3.64,White/Transparent,NA
685,52,3,Hard,1.82,Blue,NA
686,52,3,Hard,2.42,White/Transparent,NA
687,52,3,Hard,1.52,White/Transparent,Polyethylene
688,52,3,Hard,1.82,White/Transparent,NA
689,53,1,Hard,2.6,White/Transparent,Polyethylene
690,53,1,Hard,3.33,White/Transparent,Polypropylene
691,53,1,Hard,2.78,White/Transparent,NA
692,53,1,Soft,35.56,White/Transparent,NA
693,53,1,Hard,2.5,White/Transparent,NA
694,53,1,Hard,8.8,White/Transparent,Polyethylene
695,53,1,Soft,8.5,White/Transparent,NA
696,53,1,Hard,1.36,White/Transparent,NA
697,53,1,Soft,6.36,White/Transparent,NA
698,53,1,Hard,1.82,White/Transparent,NA
699,53,1,Soft,3.64,White/Transparent,Polypropylene
700,53,1,Hard,0.91,White/Transparent,NA
701,53,1,Hard,1.25,White/Transparent,NA
702,53,1,Soft,51.67,White/Transparent,NA
703,53,2,Soft,11.35,White/Transparent,NA
704,53,2,Soft,3.24,White/Transparent,NA
705,53,2,Soft,2.7,White/Transparent,NA
706,53,2,Hard,1.62,White/Transparent,NA
707,53,2,Soft,7.03,White/Transparent,NA
708,53,2,Hard,1.08,White/Transparent,NA
709,53,2,Soft,4.86,White/Transparent,NA
710,53,3,Hard,1,White/Transparent,NA
711,53,3,Soft,31,White/Transparent,Polypropylene
712,53,3,Soft,19,White/Transparent,NA
713,53,3,Hard,1,White/Transparent,NA
714,53,3,Line,2,White/Transparent,NA
715,53,3,Hard,0.5,White/Transparent,NA
716,53,3,Hard,2,White/Transparent,NA
717,53,3,Soft,2.5,White/Transparent,Polyethylene
718,53,3,Soft,2.5,White/Transparent,NA
719,53,3,Soft,3,White/Transparent,Polyethylene
720,53,3,Hard,2,White/Transparent,NA
721,53,3,Soft,4,White/Transparent,NA
722,53,3,Hard,2.5,White/Transparent,NA
723,53,3,Soft,1,White/Transparent,NA
724,53,3,Soft,1.5,White/Transparent,NA
725,53,3,Soft,11.5,White/Transparent,NA
726,53,3,Hard,2.5,White/Transparent,NA
727,53,3,Soft,3,White/Transparent,NA
728,53,3,Soft,1,White/Transparent,NA
729,53,3,Soft,18,White/Transparent,NA
730,53,3,Soft,2.5,White/Transparent,NA
731,53,3,Hard,1.5,White/Transparent,NA
732,53,3,Hard,2,White/Transparent,NA
733,53,3,Soft,4,White/Transparent,NA
734,53,3,Hard,2.2,White/Transparent,Polyethylene
735,53,3,Hard,1,White/Transparent,NA
736,53,3,Hard,3,White/Transparent,Polypropylene
737,53,3,Soft,8,White/Transparent,NA
738,53,3,Hard,2.5,White/Transparent,NA
739,53,3,Hard,1.5,White/Transparent,NA
740,53,3,Soft,9,White/Transparent,NA
741,53,3,Hard,1.8,Blue,Polypropylene
742,53,3,Hard,1.5,White/Transparent,NA
743,53,3,Hard,1.5,White/Transparent,NA
744,53,3,Hard,1,White/Transparent,Polypropylene
745,53,3,Hard,1,White/Transparent,NA
746,53,3,Hard,2,White/Transparent,NA
747,53,3,Hard,1.5,White/Transparent,NA
748,53,3,Soft,2.5,White/Transparent,NA
749,53,3,Soft,1,White/Transparent,Polyethylene
750,53,3,Soft,1.5,White/Transparent,Polypropylene
751,53,3,Soft,3,White/Transparent,NA
752,53,3,Soft,3,White/Transparent,Polypropylene
753,53,3,Soft,1.5,White/Transparent,Polypropylene
754,53,3,Soft,5,White/Transparent,NA
755,53,3,Soft,6,White/Transparent,NA
756,53,3,Soft,1.5,White/Transparent,NA
757,53,3,Hard,2,White/Transparent,Polyethylene
758,53,3,Soft,1,White/Transparent,NA
759,53,3,Soft,2,White/Transparent,Polypropylene
760,53,3,Hard,0.5,White/Transparent,NA
761,53,3,Soft,1,White/Transparent,Polypropylene
762,53,3,Soft,3.5,White/Transparent,NA
763,53,3,Soft,1.5,White/Transparent,NA
764,53,3,Line,9,White/Transparent,NA
765,53,3,Soft,4,White/Transparent,NA
766,53,3,Line,4,White/Transparent,NA
767,53,3,Line,3,White/Transparent,NA
768,53,3,Soft,2,White/Transparent,NA
769,53,3,Soft,3,White/Transparent,NA
770,53,3,Soft,3,White/Transparent,NA
771,53,3,Hard,0.5,White/Transparent,NA
772,53,3,Soft,3,White/Transparent,NA
773,53,3,Line,4,White/Transparent,NA
774,53,3,Soft,1.5,White/Transparent,NA
775,53,3,Hard,1,White/Transparent,NA
776,53,3,Hard,0.5,White/Transparent,NA
777,53,3,Soft,0.5,Orange,NA
778,54,1,Hard,1.38,White/Transparent,NA
779,54,1,Hard,1.85,White/Transparent,NA
780,54,1,Hard,5.08,Blue,NA
781,54,1,Hard,2.77,White/Transparent,NA
782,54,1,Soft,3.08,White/Transparent,NA
783,54,2,Hard,6.2,White/Transparent,Polypropylene
784,54,2,Soft,6.5,White/Transparent,NA
785,54,3,Line,12.92,Blue,Polypropylene
786,55,1,Soft,20,White/Transparent,NA
787,55,1,Soft,10.94,White/Transparent,NA
788,55,2,Hard,3.7,White/Transparent,NA
789,55,2,Soft,12.22,White/Transparent,NA
790,55,2,Line,13.7,White/Transparent,NA
791,55,2,Line,4.81,White/Transparent,NA
792,55,3,Soft,24,White/Transparent,NA
793,56,3,Hard,2,White/Transparent,NA
794,56,3,Soft,3.17,White/Transparent,NA
795,57,1,Soft,73,White/Transparent,NA
796,57,1,Soft,11.54,White/Transparent,NA
797,57,1,Soft,6.92,White/Transparent,NA
798,57,1,Hard,2.69,White/Transparent,NA
799,57,1,Hard,3.08,White/Transparent,Polyethylene
800,57,1,Line,7.69,White/Transparent,Polyethylene
801,57,1,Hard,1.54,White/Transparent,NA
802,57,1,Hard,1.15,White/Transparent,NA
803,57,1,Hard,1.54,White/Transparent,Polypropylene
804,57,1,Hard,1.54,White/Transparent,Polypropylene
805,57,1,Line,19.23,Green,Polyethylene
806,57,1,Line,11.54,White/Transparent,NA
807,57,1,Hard,2.31,White/Transparent,NA
808,57,1,Soft,4.62,White/Transparent,NA
809,57,1,Soft,3.85,White/Transparent,NA
810,57,1,Soft,2.31,White/Transparent,Polypropylene
811,57,1,Soft,1.15,White/Transparent,NA
812,57,1,Soft,2.31,White/Transparent,NA
813,57,1,Soft,7.69,White/Transparent,NA
814,57,2,Hard,3.33,White/Transparent,NA
815,57,2,Soft,4.67,White/Transparent,NA
816,57,2,Line,8.33,White/Transparent,Polyethylene
817,57,3,Hard,2,White/Transparent,Polyethylene
818,57,3,Hard,2.8,Blue,Polyethylene
819,57,3,Hard,2.17,White/Transparent,NA
820,57,3,Hard,1.52,White/Transparent,NA
821,57,3,Hard,2.17,White/Transparent,NA
822,57,3,Hard,2.17,White/Transparent,NA
823,1,1,Hard,10,White/Transparent,Polyethylene
824,1,2,Hard,2.5,White/Transparent,Polyethylene
825,1,3,Hard,5,White/Transparent,NA
826,2,1,Hard,2.5,Blue,Polyethylene
827,2,2,Hard,1.5,Black,NA
828,2,2,Hard,2,White/Transparent,NA
829,2,2,Hard,1.5,White/Transparent,NA
830,2,3,Hard,2.5,Blue,NA
831,2,3,Hard,2.5,White/Transparent,NA
832,2,3,Line,40,Green,NA
833,3,1,Hard,3,White/Transparent,NA
834,3,1,Hard,2,White/Transparent,NA
835,3,2,Hard,4,Blue,NA
836,3,2,Hard,1.5,White/Transparent,NA
837,4,1,Hard,3,White/Transparent,NA
838,4,3,Hard,4,White/Transparent,Polyethylene
839,4,3,Hard,0.5,Blue,NA
