# Plastic,NetStation,Replicate,Type,Length,Colour,PolymerType
136,28,2,Hard,2.3,White/Transparent,NA
137,28,2,Hard,5.37,White/Transparent,NA
138,28,2,Hard,1.15,White/Transparent,NA
139,28,2,Hard,2.3,White/Transparent,NA
140,28,3,Hard,2.3,White/Transparent,NA
141,28,3,Hard,1.53,White/Transparent,NA
142,28,3,Hard,48.3,Red,NA
143,28,3,Hard,1.53,White/Transparent,NA
144,29,1,Hard,9.23,White/Transparent,NA
145,29,1,Hard,13.85,White/Transparent,NA
146,29,1,Hard,6.92,White/Transparent,NA
147,29,1,Hard,1.15,White/Transparent,NA
148,29,1,Styrofoam,2.76,White/Transparent,NA
149,29,1,Hard,3.45,White/Transparent,NA
150,29,1,Hard,2.76,White/Transparent,Polypropylene
151,29,1,Hard,2.76,White/Transparent,NA
152,29,1,Hard,1.72,White/Transparent,NA
153,29,1,Hard,1.56,White/Transparent,NA
154,29,1,Hard,3.12,White/Transparent,NA
155,29,1,Hard,1.88,White/Transparent,NA
156,29,1,Hard,2.81,White/Transparent,Polyethylene
157,29,2,Hard,1.67,White/Transparent,Polyethylene
158,29,2,Hard,3.89,White/Transparent,NA
159,29,2,Hard,2.22,White/Transparent,Polypropylene
160,29,2,Hard,2.78,White/Transparent,NA
161,29,2,Hard,2.78,White/Transparent,Polypropylene
162,29,2,Hard,2.78,White/Transparent,Polyethylene
163,29,2,Line,8.33,White/Transparent,NA
164,29,2,Hard,1.67,White/Transparent,NA
165,29,2,Hard,1.67,White/Transparent,NA
166,29,2,Hard,1.67,White/Transparent,NA
167,29,3,Hard,4.5,Blue,NA
168,29,3,Hard,3.5,White/Transparent,NA
169,29,3,Hard,2.5,Green,NA
170,29,3,Hard,2.5,Blue,NA
171,29,3,Hard,3.5,White/Transparent,NA
172,30,1,Hard,4,White/Transparent,NA
173,30,2,Hard,1.6,White/Transparent,NA
174,30,3,Hard,1.92,White/Transparent,NA
175,31,1,Hard,1.78,White/Transparent,NA
176,31,1,Soft,4.89,White/Transparent,NA
177,31,1,Hard,1.33,White/Transparent,NA
178,31,1,Soft,15.56,White/Transparent,NA
179,31,2,Hard,3.68,White/Transparent,NA
180,31,2,Soft,7.37,White/Transparent,NA
181,31,2,Soft,6.32,White/Transparent,NA
182,31,2,Soft,21.05,White/Transparent,NA
183,31,3,Hard,2.19,White/Transparent,NA
184,31,3,Hard,4.38,White/Transparent,Polyethylene
185,31,3,Hard,5.62,White/Transparent,NA
186,31,3,Hard,2.5,White/Transparent,NA
187,31,3,Hard,2.5,Blue,NA
188,33,1,Hard,7.78,White/Transparent,NA
189,33,1,Line,23.33,White/Transparent,NA
190,33,1,Hard,2.04,White/Transparent,NA
191,34,1,Hard,7.32,White/Transparent,NA
192,34,1,Hard,3.94,White/Transparent,Polypropylene
193,34,2,Hard,57,White/Transparent,Polyethylene
194,34,3,Hard,4.1,White/Transparent,NA
195,35,1,Hard,1.6,Brown,NA
196,35,2,Hard,5.54,Blue,Polypropylene
197,35,2,Styrofoam,2.61,White/Transparent,NA
198,35,2,Line,4.78,White/Transparent,NA
199,35,3,Hard,5.4,White/Transparent,Polyethylene
200,36,1,Line,2,White/Transparent,NA
201,37,1,Hard,4.29,White/Transparent,NA
202,37,1,Hard,3.81,White/Transparent,NA
203,37,1,Hard,3.33,White/Transparent,NA
204,37,1,Hard,4.29,White/Transparent,NA
205,37,1,Hard,2.86,White/Transparent,NA
206,37,2,Soft,4.67,Blue,NA
207,37,2,Hard,1,White/Transparent,NA
208,37,2,Hard,1.33,White/Transparent,NA
209,37,2,Hard,0.67,White/Transparent,NA
210,37,2,Soft,5.33,White/Transparent,NA
211,37,2,Hard,1.33,Brown,NA
212,37,2,Hard,1,White/Transparent,NA
213,37,2,Hard,1.33,White/Transparent,NA
214,37,2,Hard,1,White/Transparent,NA
215,37,2,Hard,4.67,White/Transparent,NA
216,37,2,Line,8.67,Blue,NA
217,37,2,Hard,1,White/Transparent,Polyethylene
218,37,2,Hard,1.33,White/Transparent,NA
219,37,2,Line,28,White/Transparent,NA
220,37,3,Hard,3.86,White/Transparent,NA
221,37,3,Line,5,White/Transparent,NA
222,37,3,Hard,2.73,White/Transparent,NA
223,37,3,Hard,1.36,White/Transparent,NA
