# VesselTripName,NetStation,Replicate,CollectedBy,DateUTC,StartTimeUTC,EndTimeUTC,Duration,NetTypeMeshSizeDimensionsNetMouth,VesselSpeed,VesselDirection,WindSpeed,WindDirection,SeaTemperature,Salinity,Depth,StartLatitude,StartLongitude,EndLatitude,EndLongitude,StartFlowmeter,EndFlowmeter,Flow,HardPlastics,SoftPlastics,PlasticLines,Styrofoam,Pellets,TotalPlastics,DriftingWood,Pumice,Cs
Southern Surveyor/ss2011_t03,7,3,"Julia Reisser, Luana Lins",14.08.11,9:22,9:37,15,Neuston/ 335/ 1.2 x 0.6,2.9,286,12,83,14.9,35.65,537.4,-39.03532,142.39347,-39.03228,142.37838,757436,804289,46853,3,1,0,0,0,4,0,6,2477.5705
Southern Surveyor/ss2011_t03,8,1,"Julia Reisser, Luana Lins",15.08.11,4:03,4:19,15,Neuston/ 335/ 1.2 x 0.6,1.8,316,17,298,15.5,35.75,513,-37.8891,139.82588,-37.88192,139.82132,804443,838561,34118,0,1,0,0,0,1,0,0,931.7402
Southern Surveyor/ss2011_t03,8,2,"Julia Reisser, Luana Lins",15.08.11,4:21,4:37,16,Neuston/ 335/ 1.2 x 0.6,2.1,323,17,286,15.5,35.74,462.3,-37.88047,139.82037,-37.87225,139.81592,838561,874069,35508,2,1,0,0,0,3,0,1,2513.762
Southern Surveyor/ss2011_t03,8,3,"Julia Reisser, Luana Lins",15.08.11,4:39,4:54,15,Neuston/ 335/ 1.2 x 0.6,2.1,324,18,289,15.5,35.74,423.4,-37.87123,139.81547,-37.8641,139.81182,874069,907300,33231,4,10,0,0,0,14,0,1,13625.3939
Southern Surveyor/ss2011_t03,9,1,"Julia Reisser, Luana Lins",16.08.11,6:10,6:25,15,Neuston/ 335/ 1.2 x 0.6,1.1,355,26,5,15.2,35.57,530.7,-36.05597,135.6867,-36.04882,135.68608,907295,932938,25643,1,1,2,0,0,4,0,0,4177.6821
Southern Surveyor/ss2011_t03,9,2,"Julia Reisser, Luana Lins",16.08.11,6:28,6:43,15,Neuston/ 335/ 1.2 x 0.6,1.9,351,26,8,15.2,35.56,476.2,-36.04788,135.68618,-36.04307,135.68518,932938,NA,NA,0,0,0,0,2,2,0,0,2015.152
Southern Surveyor/ss2011_t03,9,3,"Julia Reisser, Luana Lins",16.08.11,6:48,7:01,13,Neuston/ 335/ 1.2 x 0.6,2.1,312,29,359,15.2,35.56,454.6,-36.03848,135.67853,-36.0339,135.6742,NA,977311,NA,0,0,0,0,0,0,0,0,0
Southern Surveyor/ss2011_t03,10,1,"Julia Reisser, Luana Lins",17.08.11,9:21,9:36,15,Neuston/ 335/ 1.2 x 0.6,2.5,264,21,249,14.9,35.54,2113.1,-35.48068,132.18213,-35.47874,132.17053,977305,1011285,33980,3,0,0,0,0,3,0,2,2332.4874
Southern Surveyor/ss2011_t03,10,2,"Julia Reisser, Luana Lins",17.08.11,9:38,9:53,15,Neuston/ 335/ 1.2 x 0.6,3.6,266,21,243,14.9,35.56,2268.4,-35.47868,132.16957,-35.47663,132.15555,11285,45663,34378,0,0,0,0,0,0,0,0,0
Southern Surveyor/ss2011_t03,10,3,"Julia Reisser, Luana Lins",17.08.11,9:55,10:10,15,Neuston/ 335/ 1.2 x 0.6,4.1,265,18,207,14.8,35.53,2349.9,-35.47657,132.15517,-35.47469,132.14203,45663,82472,36809,2,0,0,0,0,2,0,0,1381.0516
